Detector;Year;Doctype;Publisher;Venue;Title;Citations;Altmetric;All Tips;Tortured Phrases;Assessor;PubPeer Users
suspect, tortured;2020;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2020 7th International Conference on Smart Structures and Systems (ICSSS);2020 7th International Conference on Smart Structures and Systems (ICSSS) - Full Conference Proceedings;0;0;92;AI calculation • Euclidean separation • Fourier change • PC vision • completely associated layer • component extraction • concealed state • convolutional neural system • directing convention • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • discourse signal • discourse to-content • enactment vitality • evacuates the commotion • example acknowledgment • extricating highlights~20 • facial acknowledgement OR facial acknowledgment • fix reception apparatus • fluffy framework • fourth era (4G) • heart ailments • hereditary calculation • high-exactness • highlight extraction • histogram evening out • hyperspectral symbolism • impedance coordinating • info and yield • info information • info picture • information mining • information picture • informational collection • informational index • initiation vitality • k-implies bunching • k-implies grouping • misfortune rate • optical character acknowledgment • organize lifetime • parcel misfortune • picture division • picture handling • picture inscribing • picture preparing • plant ailments • pre-preparing • preparation dataset • preparation informational index • preparing information • profound neural system • random woodland • recognizable proof • records arrangement • recurrence band • recurrence scope • remaining vitality • remove highlights • return misfortune • separate the highlights • shading pictures • sign to clamor • specially appointed system • steering convention • surface highlights • unique finger impression • vitality utilization • vitality utilize • voice acknowledgment • wellness esteem • PC helped AND (be that as it OR on the off chance) • brilliant AND keen AND savvy AND shrewd • radio wire AND antenna • back spread AND neural • profound learning AND deep learning • working framework AND operating system • picture highlights AND image features • picture arrangement AND image classification • preparing information AND (training set OR training dataset) • speech acknowledgment AND speech recognition • picture acknowledgment AND image recognition • versatile correspondence AND network;Cabanac;Guillaume Cabanac
suspect, tortured;2021;chapter;Taylor & Francis;Handbook of Research for Big Data;Role of Machine Learning in Big Data Peregrination;0;0;67;AI calculation • AI draws near • K-closest neighbors • Wavelet change • administered learning • arrangement and relapse • back proliferation • bolster vector machine • component extraction • concealed layer • convolutional neural system • dimensionality decrease • direct relapse • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • guileless Bayes • gullible Bayes • head part examination • help vector machine • hereditary calculation • huge information • include choice • info information • information mining • irregular request • irregular timberland • likelihood appropriation • limited Boltzmann machine • move learning • named information • non-straight change • peculiarity discovery • picture division • polynomial relapse • pre-handling • pre-preparing • preparation set • preparing set • prescient capacity • savvy cultivating • savvy lattice • shrewd metering • solo learning • speed, assortment • straight change • strategic relapse • support vector relapse • unaided learning • vitality productivity • vitality utilization • yield layers • brilliant AND keen AND savvy AND shrewd • yield layer AND neural • vaticination AND algorithm • profound learning AND deep learning;Cabanac;Guillaume Cabanac, N. H. Wise
suspect, tortured;2022;chapter;Wiley;Advanced Analytics and Deep Learning Models;Adoption of Machine/Deep Learning in Cloud With a Case Study on Discernment of Cervical Cancer;0;0;62;AI calculation • Fourier change • PC upheld • PC vision • administered learning • arbitrary backwoods • arbitrary timberland • bunching strategies • choice tree • colossal arrangements of information • computerized reasoning • concealed layer • convolutional neural association • counterfeit neural • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • discrete Fourier change • distinguishing proof • enactment work • example arrangement • facial acknowledgement OR facial acknowledgment • grouping and relapse • help vector machine • highlight extraction • huge information • info information • informational collection • informational index • intermittent organization • likelihood circulation • likelihood thickness • magnetic reverberation • man-made consciousness • man-made intelligence • man-made reasoning • misfortune work • neural associations • neural organization • optical character acknowledgment • picture handling • picture order • picture preparing • positron discharge tomography • preparation set • preparing information • preparing set • profound neural organization • regular language preparing • shrouded layer • straight relapse • unaided learning calculations • unaided learning • yield layers • brilliant AND keen AND savvy AND shrewd • back spread AND neural • yield layer AND neural • profound learning AND deep learning • regulated learning AND supervised learning • preparing information AND (training set OR training dataset) • picture acknowledgment AND image recognition;Cabanac;Guillaume Cabanac
clayFeet, suspect, tortured;2022;chapter;Springer Nature;IoT for Sustainable Smart Cities and Society;Role of Machine Learning and Deep Learning in Internet of Things enabled Smart Cities;0;0;62;AI calculation • PC vision • administered ML • administered learning • arbitrary backwoods • bosom disease • bosom malignancy • choice tree • computerized reasoning • convolutional neural organization • coronary illness • counterfeit neural • crude information • digital assault • dimensionality decrease • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • distinguishing proof • feedforward neural organization • genuine world dataset • gullible Bayes • hereditary calculation • huge information • info layer • intermittent neural organizations • k-implies bunching • machine interpretation • man-made consciousness • man-made reasoning • misfortune work • molecule swarm • move learning • neural organization • picture division • picture handling • pre-handling • preparation information • preparation set • preparing information • prescient model • profound neural organization • regular language handling • repetitive neural organizations • secret layer • shrewd city • shrewd gadget • solo learning • swarm streamlining • unaided learning • yield layers • yield layer AND neural • profound learning AND deep learning;Cabanac;Guillaume Cabanac
suspect, tortured;2021;article;IOP Publishing;Journal of Physics Conference Series;Machine Learning Based Classification Models for Heart Disease Prediction;0;1;60;AI calculation • K-closest neighbors • PC vision • Parkinson's illness • Parkinson's infection • Parkinson's sickness • arbitrary woods • arrangement exactness • artificial neural organizations • backing vector machine • bosom disease • bosom malignancy • bosom malignant • cardiovascular breakdown • chest torture • choice tree • collector working trademark • component determination calculation • computer-based intelligence • condition of-craftsmanship • convolutional neural organization • coronary course • coronary illness • coronary sickness • counterfeit neural • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • distinguishing proof • exactness accuracy~5 • genuine world dataset • heart sickness • help vector machine • hereditary calculation • high-exactness • highlight determination calculation • include choice • infection recognizable proof • information mining • informational index • initiation work • logistic relapse • machine interpretation • man-made intelligence • neural organization • normal language handling • periphery course disorder • preparing and testing • prescient framework • prescient model • profound neural organization • recognizable proof • repetitive neural organizations • respiratory disappointment • secret layer • square mistake • subterranean insect state • uphold vector machine • weight esteem;Cabanac;Guillaume Cabanac, Elisabeth M Bik, Kim Eggleton
clayFeet, suspect, tortured;2022;article;Wiley;Computational Intelligence;A remote diagnosis of Parkinson's ailment using artificial intelligence based BPNN framework and cloud based storage architecture for securing data in cloud environment for the application of telecommunication technologies;0;0;59;10-crease cross • Bayesian aggregate govern • Parkinson's ailment • Parkinson's infection • Parkinson's malady • Parkinson's sickness • actuation work • back proliferation • ceaseless estimations • choice emotionally supportive • concealed layer • concealed neuron • coveted yield • demise conditions • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • enactment work • face acknowledgment • fake neural • heightening prerequisite • huge information • human services conveyance • include choice • information gushing • information mining • informational collection • lucky warnings • m-wellbeing • medicinal intercessions • nourish forward • p esteem • palatable execution • preparation set • programmed discourse acknowledgment • seriousness assessment • shrouded layer • shrouded neuron • shrouded units • sigmoid capacity • slope plunge • sound individuals • speculation capacity • squared mistake • therapeutic gadgets • unfriendly wellbeing • voice flag • yield layers • brilliant AND keen AND savvy AND shrewd • back spread AND neural • yield layer AND neural • back engendering AND neural;Cabanac;Guillaume Cabanac, Dorothy V.M. Bishop
clayFeet, suspect, tortured;2021;chapter;Wiley;Data Analytics in Bioinformatics;An Innovative Machine Learning Approach to Diagnose Cancer at an Early Stage;3;0;58;PC vision • Wavelet change • assistance vector machine • attractive reverberation • bolster vector machine • bosom disease • bosom malignant • choice tree • component extraction • computer-based intelligence • computerized reasoning • coronary illness • counterfeit insight • covered layer • design acknowledgment • distinguishing proof • example acknowledgment • fake neural • fluffy grouping • hereditary calculation • highlight extraction • highlight vector • info picture • information mining • information picture • kidney disappointment • kind injuries • man-made consciousness • man-made intelligence • man-made reasoning • mind tumor • molecule swarm enhancement (PSO) • molecule swarm • neural organize • optical character acknowledgment • picture division • picture handling strategies • picture handling • picture preparing • pixel esteems • programming bundle • recognizable proof • regular language handling • shading pictures • shrouded neuron • skin malignant growth • straight relapse • yield layers • PC helped AND (be that as it OR on the off chance) • back spread AND neural • yield layer AND neural • profound learning AND deep learning;Cabanac;Guillaume Cabanac, Aspergillus Waksmanii
suspect, tortured;2021;chapter;Wiley;Green Internet of Things and Machine Learning;Machine Learning–Enabled Techniques for Reducing Energy Consumption of IoT Devices;1;0;57;AI calculation • CO2 emanation • brilliant lattice • brilliant metering • counterfeit neural • earth-wide temperature boost • field programmable entryway exhibit • haze registering • high-exactness • highlight extraction • huge information • incorporated circuits • irregular woodland • keen city • keen gadget • keen home • keen lattice • keen matrix • man-made brainpower • man-made reasoning • mist figuring • neural organization • ozone depleting substance outflows • prescient model • recognizable proof • savvy contract • savvy metering • shrewd city • shrewd home • shrewd lattice • shrewd metering • sun oriented energy • sun oriented force • uphold vector machine • vitality effective • vitality productivity • vitality sparing • vitality utilization • worldwide temperature alteration • brilliant AND keen AND savvy AND shrewd;Cabanac;Guillaume Cabanac
suspect, tortured;2017;article;World Scientific Publishing;International Journal of Wavelets Multiresolution and Information Processing;Applications of wavelet transform on power engineering problems — A brief review;0;0;54;Fourier change • Wavelet change • actuation capacities • back proliferation • back-engendering calculation • bolster vector machine • bolster vector relapse • brilliant matrix • choice tree • component extraction • concealed layer • concealed neuron • cross breed model~5 • customary strategies • discrete Fourier change • distinguishing proof • extricating highlights~20 • fake neural • fast Fourier change • fluffy deduction • fluffy framework • fluffy rationale • half breed model • hereditary calculation • highlight extraction • highlight vector • identification and arrangement • info and yield • manufactured neural • molecule swarm • moving normal (ARIMA) • pre-handling • preparing and testing • quick Fourier change • recognizable proof • recurrence band • recurrence space • self sorting out • speculation capacity • squared mistake • time and recurrence space • vitality devouring • vitality sparing • wavelet decay • wellness esteem • back spread AND neural • back engendering AND neural;Cabanac;Guillaume Cabanac
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 5th International Conference on Computing Methodologies and Communication (ICCMC);A Convenient Machine Learning Model for Cyber Security;4;0;53;L1 misfortune • PC vision • Wasserstein separation • abnormality identification • antagonistic assaults • assault model • characterization problems • commented on information • component extraction • concealed layer • counterfeit neural • cross-entropy misfortune • digital assault • distinguishing proof • enlivened by the human cerebrum • fluffy rationale • gatherings clustering~10 • grouping methods • hereditary calculation • highlight extraction • ill-disposed assaults • inclination descent • irregularity discovery • irregularity identification • irregularity recognition • keen matrix • man-made intelligence • misfortune work • neural organization • non-direct parametric capacity • overseen and independent learning • peculiarity discovery • peculiarity identification • preparation information • preparing and testing • preparing information • prescient learning • profound neural organization • profound neural system • semi-managed and unsupervised • shrouded units • thickness based grouping • to expel commotion • uproarious rendition of the information • w speaks to the Wasserstein separation • directed learning AND supervised learning • profound learning AND deep learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Cabanac;Nerita Vitiensis
